movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name
the bourne legacy,Action Adventure Thriller,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach
batman & robin,Action,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover
how the grinch stole christmas,Comedy Family Fantasy,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon
the day after tomorrow,Action Adventure Sci-Fi Thriller,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward
mission: impossible ii,Action Adventure Thriller,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh
the perfect storm,Action Adventure Drama Thriller,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton
fantastic 4: rise of the silver surfer,Action Adventure Sci-Fi Thriller,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher
life of pi,Adventure Drama Fantasy,Ang Lee,Suraj Sharma,Rafe Spall,Tabu
ghost rider,Action Fantasy Thriller,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda
jason bourne,Action Thriller,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh
charlie's angels: full throttle,Action Adventure Comedy Crime,McG,Demi Moore,Bernie Mac,Justin Theroux
prometheus,Adventure Mystery Sci-Fi,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris
stuart little 2,Adventure Animation Comedy Family Fantasy,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith
elysium,Action Drama Sci-Fi Thriller,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga
the chronicles of riddick,Action Adventure Sci-Fi Thriller,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox
robocop,Action Crime Sci-Fi Thriller,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle
speed racer,Action Family Sport,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia
how do you know,Comedy Drama Romance,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris
knight and day,Action Comedy Romance,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà
oblivion,Action Adventure Mystery Sci-Fi,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell
star wars: episode iii - revenge of the sith,Action Adventure Fantasy Sci-Fi,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen
star wars: episode ii - attack of the clones,Action Adventure Fantasy Sci-Fi,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen
"monsters, inc.",Adventure Animation Comedy Family Fantasy,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn
the wolverine,Action Adventure Sci-Fi Thriller,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima
star wars: episode i - the phantom menace,Action Adventure Fantasy Sci-Fi,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid
the croods,Adventure Animation Comedy Family Fantasy,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage
asterix at the olympic games,Adventure Comedy Family Fantasy,Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler
windtalkers,Action Drama War,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich
